timestamp,speed,rpm,calculated_engine_load,absolute_engine_load,relative_throttle_pos,absolute_throttle_pos,timing_advance,fuel_rail_pressure,intake_manifold_pressure,coolant_temperature,fuel_level,catalyst_temperature_bank1sensor1,catalyst_temperature_bank1sensor2,o2_bank1sensor2_voltage,o2_bank1sensor1_wr_lambda_current,short_term_fuel_trim_bank1,short_term_o2_trim_bank1
1964.445725,0.0,699.0,35.294117647058826,22.352941176470587,3.1372549019607843,14.117647058823529,4.5,4210.0,34,84,40.3921568627451,363.40000000000003,324.70000000000005,0.415,0.03125,0.78125,0.0
1964.786032,0.0,705.0,35.294117647058826,21.96078431372549,3.1372549019607843,14.117647058823529,4.0,4260.0,34,84,40.3921568627451,363.5,324.90000000000003,0.415,0.0390625,0.78125,0.0
1965.125579,0.0,712.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,4.0,4220.0,34,84,41.568627450980394,363.70000000000005,325.0,0.415,0.015625,0.78125,0.0
1965.46586,0.0,715.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,5.0,4260.0,34,84,41.568627450980394,363.70000000000005,325.0,0.415,-0.00390625,0.78125,0.0
1965.806172,0.0,712.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,4.5,4270.0,34,84,40.78431372549019,363.90000000000003,325.1,0.415,-0.02734375,0.78125,0.0
1966.14562,0.0,712.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,5.0,4220.0,34,84,40.78431372549019,364.0,325.20000000000005,0.415,-0.02734375,0.78125,0.0
1966.486025,0.0,714.0,34.509803921568626,21.56862745098039,3.1372549019607843,14.117647058823529,5.0,4280.0,34,84,41.568627450980394,364.0,325.20000000000005,0.415,-0.0390625,0.78125,0.0
1966.826161,0.0,708.0,34.509803921568626,21.56862745098039,3.1372549019607843,14.117647058823529,5.0,4200.0,34,84,40.3921568627451,364.20000000000005,325.40000000000003,0.415,-0.00390625,0.78125,0.0
1967.165435,0.0,707.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,5.5,4230.0,34,84,40.3921568627451,364.40000000000003,325.5,0.415,0.03125,0.78125,0.0
1967.505732,0.0,714.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,5.0,4250.0,34,84,41.568627450980394,364.40000000000003,325.5,0.415,0.0390625,0.78125,0.0
1967.845631,0.0,709.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,4.5,4190.0,34,84,40.78431372549019,364.5,325.6,0.415,0.03125,0.78125,0.0
1968.185547,0.0,710.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,4.5,4230.0,34,84,40.78431372549019,364.70000000000005,325.70000000000005,0.415,0.0390625,0.78125,0.0
1968.525493,0.0,705.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,4.5,4200.0,34,84,40.78431372549019,364.70000000000005,325.70000000000005,0.415,0.0390625,0.78125,0.0
1968.865386,0.0,710.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,4.5,4240.0,34,84,40.78431372549019,364.90000000000003,325.90000000000003,0.415,0.00390625,0.78125,0.0
1969.205651,0.0,710.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,5.0,4280.0,34,84,40.78431372549019,365.0,326.0,0.415,-0.046875,0.0,0.0
1969.545559,0.0,708.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,5.0,4230.0,34,84,40.3921568627451,365.20000000000005,326.20000000000005,0.415,-0.02734375,0.78125,0.0
1969.885483,0.0,716.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,4.5,4290.0,34,84,40.3921568627451,365.20000000000005,326.20000000000005,0.415,-0.02734375,0.78125,0.0
1970.225419,0.0,719.0,34.509803921568626,21.56862745098039,3.1372549019607843,14.117647058823529,5.0,4220.0,34,84,41.568627450980394,365.40000000000003,326.3,0.415,-0.02734375,0.78125,0.0
1970.565576,0.0,710.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,5.0,4230.0,34,84,41.568627450980394,365.5,326.40000000000003,0.415,0.00390625,0.78125,0.0
1970.905523,0.0,697.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,5.0,4210.0,34,84,40.3921568627451,365.5,326.40000000000003,0.415,0.0390625,0.78125,0.0
1971.24552,0.0,697.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,4.5,4170.0,34,84,40.3921568627451,365.6,326.5,0.415,0.046875,0.78125,0.0
1971.585493,0.0,697.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,3.5,4240.0,34,84,40.78431372549019,365.70000000000005,326.70000000000005,0.415,0.0390625,0.78125,0.0
1971.92535,0.0,698.0,35.294117647058826,22.352941176470587,3.1372549019607843,14.117647058823529,3.5,4190.0,34,84,41.568627450980394,365.70000000000005,326.70000000000005,0.415,0.046875,0.78125,0.0
1972.265299,0.0,700.0,35.294117647058826,21.96078431372549,3.1372549019607843,14.117647058823529,3.5,4240.0,34,84,41.568627450980394,365.90000000000003,326.8,0.415,0.03125,0.78125,0.0
1972.60554,0.0,707.0,35.294117647058826,21.96078431372549,3.1372549019607843,14.117647058823529,3.5,4240.0,34,84,40.78431372549019,366.0,326.90000000000003,0.415,0.00390625,1.5625,0.0
1972.945466,0.0,715.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,3.5,4210.0,34,84,40.3921568627451,366.0,326.90000000000003,0.415,-0.01953125,0.78125,0.0
1973.285286,0.0,710.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,4.0,4260.0,34,84,40.78431372549019,366.1,327.0,0.415,-0.01953125,1.5625,0.0
1973.625372,0.0,708.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,4.0,4210.0,34,84,41.96078431372549,366.20000000000005,327.20000000000005,0.415,-0.02734375,1.5625,0.0
1973.965251,0.0,713.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,4.5,4230.0,34,84,41.96078431372549,366.20000000000005,327.20000000000005,0.415,-0.046875,0.78125,0.0
1974.305504,0.0,705.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,5.0,4210.0,34,84,40.78431372549019,366.40000000000003,327.3,0.415,-0.00390625,0.78125,0.0
1974.645081,0.0,696.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,5.0,4180.0,34,84,40.3921568627451,366.5,327.40000000000003,0.415,0.0390625,1.5625,0.0
1974.984994,0.0,700.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,5.0,4200.0,34,84,40.3921568627451,366.5,327.40000000000003,0.415,0.046875,1.5625,0.0
1975.325261,0.0,704.0,35.294117647058826,22.352941176470587,3.1372549019607843,14.117647058823529,3.5,4170.0,34,84,41.568627450980394,366.5,327.5,0.415,0.05859375,1.5625,0.0
1975.665109,0.0,708.0,35.294117647058826,21.96078431372549,3.1372549019607843,14.117647058823529,4.0,4230.0,34,84,41.568627450980394,366.70000000000005,327.70000000000005,0.415,0.046875,1.5625,0.0
1976.005253,0.0,711.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,3.5,4200.0,34,84,40.3921568627451,366.70000000000005,327.70000000000005,0.415,-0.00390625,0.78125,0.0
1976.345742,0.0,712.0,34.90196078431372,21.96078431372549,3.1372549019607843,14.117647058823529,3.0,4210.0,34,84,40.3921568627451,366.90000000000003,327.90000000000003,0.415,-0.01953125,0.78125,0.0
1976.684842,0.0,714.0,34.509803921568626,21.56862745098039,3.1372549019607843,14.117647058823529,4.0,4260.0,34,84,40.78431372549019,367.0,328.0,0.415,-0.01171875,1.5625,0.0
1977.025193,0.0,712.0,34.509803921568626,21.56862745098039,3.1372549019607843,14.117647058823529,4.5,4210.0,34,84,40.78431372549019,367.0,328.0,0.415,-0.02734375,1.5625,0.0
